id_names,id_title
1000,629
1000,785
1000,1272
1000,1646
1000,2484
1001,4085
1002,56
1002,2719
1002,4231
1002,4578
1002,4613
1003,4977
1004,2044
1005,338
1005,937
1005,4585
1006,338
1006,937
1006,4585
1007,1456
1007,1894
1008,2345
1008,4117
1009,1008
1010,3928
1011,811
1012,211
1012,3508
1012,3847
1012,4931
1013,1931
1014,1320
1014,2167
1014,3120
1014,3237
1014,3632
1014,4127
1015,4589
1016,141
1016,671
1016,1476
1016,2281
1017,232
1017,313
1017,565
1017,882
1017,1982
1017,2827
1017,2837
1017,3344
1018,4728
1019,3608
1020,3696
1020,3878
1020,4472
1021,4925
1022,675
1022,2206
1022,2313
1022,3342
1023,90
1023,641
1023,844
1024,4791
1025,857
1026,544
1026,1261
1026,2247
1026,4554
1027,254
1027,523
1027,1335
1027,1457
1027,1501
1027,3587
1028,2507
1029,21
1029,24
1029,100
1030,3693
1031,4649
1032,2688
1033,4455
1034,1060
1034,1094
1034,2655
1034,3800
1035,501
1035,509
1035,805
1035,939
1035,1327
1035,2232
1035,2464
1035,3482
1035,3543
1035,4471
1035,4829
1036,3899
1037,2632
1038,504
1038,4692
1038,4808
1039,4356
1040,4967
1041,4908
1042,372
1042,373
1042,403
1042,430
1042,448
1042,450
1042,457
1042,459
1042,479
1042,487
1042,515
1042,531
1042,536
1042,550
1042,570
1042,822
1042,829
1042,936
1042,1105
1042,1587
1042,1953
1042,2051
1042,2250
1042,3105
1043,258
1043,360
1043,661
1043,906
1043,1084
1043,1163
1043,2042
1043,2379
1043,2634
1043,2824
1043,3157
1043,3727
1043,3794
1043,4115
1044,4259
1045,4394
1046,4059
1047,2456
1047,2894
1048,758
1048,1833
1049,3351
1050,3756
1051,485
1052,4027
1053,3246
1054,678
1055,360
1055,674
1055,3237
1055,3615
1055,4831
1056,2605
1057,2688
1058,3944
1058,4268
1059,4450
1060,3215
1061,793
1062,1121
1063,431
1063,3313
1063,3371
1063,3599
1064,4598
1065,4476
1066,3244
1067,4040
1068,4171
1069,4171
1070,999
1070,2725
1070,3197
1070,3655
1070,4578
1071,999
1071,2725
1071,3197
1071,3655
1071,4578
1072,480
1072,4222
1073,1879
1074,2989
1075,3551
1076,4851
1077,4349
1078,4588
1079,4646
1080,1870
1081,4349
1082,3950
1083,635
1084,2004
1085,1233
1085,1702
1085,2522
1085,2759
1085,2819
1085,3636
1085,3649
1085,3982
1085,4126
1085,4364
1085,4429
1085,4616
1086,21
1086,24
1086,100
1086,802
1087,1405
1087,1565
1087,1944
1087,4220
1087,4694
1088,1257
1088,1621
1088,3393
1089,1683
1090,658
1090,1511
1090,2294
1091,658
1091,1511
1091,2294
1092,3223
1093,3596
1093,4293
1094,3465
1095,2679
1096,4698
1097,3021
1098,3262
1098,3455
1099,3691
1100,3790
1101,4803
1102,1430
1103,4549
1104,3107
1104,3123
1105,412
1105,515
1105,640
1105,735
1105,785
1105,828
1105,896
1105,1067
1105,1289
1105,1437
1105,1690
1105,1717
1105,1907
1105,2342
1105,2359
1105,2746
1105,2838
1105,2901
1105,3091
1105,3188
1105,3467
1106,358
1107,4767
1108,243
1109,4250
1110,3334
1111,4935
1112,11
1113,792
1113,1951
1114,2355
1115,533
1115,3874
1116,4825
1117,4370
1118,1668
1118,1816
1118,2616
1119,4674
1119,4791
1120,10
1120,34
1120,107
1120,930
1120,1087
1120,1755
1120,1980
1120,2233
1120,2536
1120,3774
1120,4129
1121,395
1121,746
1121,1344
1121,1590
1121,1592
1121,2437
1121,4762
1121,5042
1122,3924
1123,3060
1123,3444
1124,3947
1125,482
1126,5021
1127,2396
1127,4181
1127,4294
1127,4512
1128,3507
1129,3190
1130,520
1130,576
1130,1055
1130,1469
1130,2317
1130,2616
1130,2654
1130,2694
1130,3002
1130,3123
1130,4536
1131,4267
1132,890
1132,3684
1133,31
1133,184
1133,603
1133,938
1133,1499
1133,3007
1133,3494
1133,4534
1134,4551
1135,2448
1136,1028
1136,2108
1136,2995
1136,3538
1137,366
1137,1749
1138,4898
1139,4395
1140,2982
1141,2011
1142,3884
1143,1383
1144,2132
1145,345
1145,2073
1145,2728
1145,2941
1146,3284
1147,314
1147,2403
1147,2433
1147,2632
1147,3478
1148,4897
1149,4921
1150,4587
1151,4500
1152,1478
1152,2623
1153,3064
1153,4983
1154,3854
1154,4261
1154,4308
1154,4956
1155,4553
1156,3976
1157,470
1158,4135
1159,969
1159,1319
1159,1595
1159,2245
1159,2502
1159,3471
1160,1761
1160,2116
1160,2259
1160,2497
1160,2884
1160,3827
1161,664
1161,1221
1161,1482
1161,2933
1162,4802
1163,2928
1164,3287
1165,2199
1166,214
1166,231
1166,2651
1166,2858
1167,3412
1168,1118
1168,1192
1168,1303
1168,1343
1168,1391
1168,1406
1168,1825
1168,2306
1168,3166
1168,3354
1168,4021
1168,4232
1169,339
1169,964
1169,2511
1170,29
1170,64
1170,138
1170,1769
1170,1921
1170,1987
1170,3275
1170,3570
1170,4288
1171,4626
1172,4842
1173,1927
1173,3935
1174,3016
1175,2571
1175,4221
1176,1374
1176,2356
1176,2830
1176,3388
1176,3575
1177,4034
1178,2079
1179,4030
1180,4641
1181,3416
1182,4603
1183,1933
1184,3668
1185,569
1185,3120
1185,3680
1186,3627
1187,1639
1187,3264
1188,199
1188,1049
1188,1068
1188,1426
1188,1544
1188,1664
1188,1745
1188,1913
1188,1919
1188,2660
1188,2796
1188,3414
1188,3555
1188,4703
1189,207
1190,4911
1191,2163
1192,926
1192,2691
1192,3174
1192,3785
1192,4419
1192,4647
1193,926
1193,2691
1193,3174
1193,3785
1193,4419
1193,4647
1194,118
1194,230
1194,1239
1194,1564
1194,3512
1194,4030
1195,4324
1196,85
1196,1509
1197,3800
1198,917
1198,1103
1198,2378
1199,917
1199,1103
1199,2378
1200,977
1200,2111
1200,3670
1200,4014
1201,3980
1202,3724
1203,1978
1204,4258
1205,3043
1206,4797
1207,726
1207,1106
1207,1574
1207,1690
1207,1900
1207,2777
1207,2955
1207,3210
1207,3922
1208,726
1208,1106
1208,1574
1208,1690
1208,1900
1208,2777
1208,2955
1208,3210
1208,3922
1209,4614
1210,2999
1210,3005
1210,4121
1211,4715
1212,3707
1213,768
1213,1203
1213,1257
1213,1377
1213,1681
1214,2832
1215,1040
1215,1635
1216,1040
1216,1635
1217,603
1217,1027
1217,1647
1217,2001
1217,2581
1217,2670
1217,2889
1218,1060
1219,3074
1220,4154
1221,531
1221,1833
1222,2615
1223,2786
1224,4663
1225,3488
1226,2634
1226,3159
1226,3705
1227,2926
1227,3230
1227,4867
1228,4384
1229,4638
1230,1474
1230,3618
1231,2558
1232,382
1232,682
1232,1483
1232,3507
1233,981
1234,845
1234,979
1234,1588
1234,2183
1234,2564
1234,2572
1234,2792
1234,2919
1234,3491
1234,3806
1235,730
1235,1194
1235,1650
1235,2929
1236,898
1236,2102
1236,2564
1237,4978
1238,4990
1239,4120
1240,4197
1241,3875
1242,1737
1242,2432
1242,2471
1243,1959
1244,3249
1245,1421
1245,4353
1246,4794
1247,4754
1248,2733
1249,4444
1250,922
1250,2093
1251,922
1251,2093
1252,419
1252,940
1253,357
1253,733
1253,992
1253,1307
1253,1786
1253,2188
1253,2962
1254,357
1254,733
1254,992
1254,1307
1254,1786
1254,2188
1254,2962
1255,4978
1256,2826
1257,94
1257,163
1257,1809
1257,1916
1257,2639
1257,2791
1257,4087
1257,4380
1258,4815
1259,4417
1260,3701
1261,2124
1262,4922
1263,4864
1264,1512
1265,4816
1266,970
1266,1190
1266,3383
1267,1750
1267,2089
1268,4180
1269,494
1270,2776
1271,1832
1272,4793
1273,3921
1274,2934
1274,4043
1274,4098
1275,3407
1276,4701
1277,3612
1277,4722
1278,69
1278,79
1278,449
1278,598
1278,708
1278,866
1278,1623
1278,1707
1278,2200
1278,2274
1278,2399
1278,2410
1278,3308
1278,4133
1279,1072
1279,1225
1279,4310
1280,1414
1281,192
1281,472
1281,715
1281,2566
1281,4131
1281,4282
1281,4612
1282,192
1282,472
1282,715
1282,2566
1282,4131
1282,4282
1282,4612
1283,4476
1284,1943
1285,247
1286,2393
1286,4328
1287,4361
1287,4602
1288,4196
1289,3014
1290,4926
1291,4926
1292,972
1292,1545
1293,972
1293,1545
1294,4641
1295,1062
1296,1174
1296,1734
1297,106
1297,193
1297,223
1297,855
1297,1582
1297,4213
1298,868
1299,498
1300,1281
1301,1566
1301,1882
1301,2766
1301,3295
1301,3625
1302,3667
1303,661
1304,4609
1305,4723
1306,3749
1307,442
1307,621
1308,5006
1308,5011
1309,1302
1309,4805
1310,2416
1311,1224
1311,2270
1311,2940
1312,22
1312,40
1312,1198
1312,1484
1312,1709
1312,2727
1312,3321
1313,2846
1313,3065
1313,3730
1314,4970
1315,3110
1316,4115
1317,4540
1318,1801
1319,1031
1319,3788
1320,890
1320,1177
1321,3554
1322,2010
1323,2652
1324,3233
1325,4817
1326,3001
1327,1056
1327,2265
1328,1324
1328,2347
1328,2375
1328,2975
1328,4256
1329,2347
1330,183
1330,525
1330,1088
1331,4672
1332,4526
1333,1747
1334,4564
1335,1275
1336,3360
1337,2808
1337,3779
1338,4457
1339,4714
1340,2583
1340,4437
1341,2389
1342,4826
1343,4629
1344,83
1344,114
1344,140
1344,155
1344,185
1344,193
1344,256
1344,283
1344,306
1344,343
1344,380
1344,528
1344,542
1344,627
1344,810
1344,878
1344,1043
1344,1297
1344,1321
1344,1536
1344,1856
1344,2035
1344,2334
1344,2707
1344,3171
1345,2555
1345,3910
1346,2678
1347,3111
1347,3677
1348,3957
1349,1264
1349,3560
1349,4136
1350,3069
1351,1498
1351,3098
1352,3472
1353,4085
1354,2085
1354,2158
1354,2554
1355,4040
1356,278
1356,543
1356,2984
1357,2763
1357,4594
1358,4859
1359,1078
1359,2341
1360,3437
1360,4256
1361,4813
1362,722
1362,1005
1362,1010
1362,1597
1362,1763
1362,1840
1362,2969
1362,3063
1362,3305
1362,4028
1362,4413
1363,4758
1364,4648
1365,4388
1366,4093
1367,1767
1368,914
1368,1432
1368,4146
1369,317
1369,2749
1369,3415
1369,3946
1370,317
1370,2749
1370,3415
1370,3946
1371,3930
1372,2462
1373,4836
1374,3433
1375,3879
1376,425
1376,632
1376,753
1376,946
1376,1371
1376,1379
1376,1613
1376,1735
1376,2263
1376,2508
1376,2639
1376,3369
1376,4309
1376,4746
1376,4980
1377,2713
1378,5030
1379,2728
1380,3220
1381,962
1382,486
1382,1706
1382,2064
1382,4719
1383,3555
1383,4398
1384,1188
1384,2582
1385,1273
1385,1309
1385,2764
1385,4864
1386,727
1386,1317
1386,1351
1386,1738
1386,3002
1386,3714
1387,34
1387,97
1387,107
1387,385
1387,451
1387,659
1387,916
1387,1079
1387,1210
1387,1409
